State,Abbreviation,Business Population
Alabama,AL,100805
Alaska,AK,19901
Arizona,AZ,134072
Arkansas,AR,65451
California,CA,857831
Colorado,CO,152997
Connecticut,CT,90048
Delaware,DE,24523
District of Columbia,DC,21210
Florida,FL,491249
Georgia,GA,219348
Hawaii,HI,32372
Idaho,ID,44300
Illinois,IL,314977
Indiana,IN,146017
Iowa,IA,80971
Kansas,KS,74698
Kentucky,KY,90661
Louisiana,LA,103384
Maine,ME,40616
Maryland,MD,135633
Massachusetts,MA,170473
Michigan,MI,221682
Minnesota,MN,146453
Mississippi,MS,59607
Missouri,MO,150892
Montana,MT,36326
Nebraska,NE,51633
Nevada,NV,59785
New Hampshire,NH,37873
New Jersey,NJ,231186
New Mexico,NM,44986
New York,NY,515819
North Carolina,NC,218987
North Dakota,ND,21445
Ohio,OH,256551
Oklahoma,OK,90347
Oregon,OR,108040
Pennsylvania,PA,298432
Rhode Island,RI,28682
South Carolina,SC,103254
South Dakota,SD,25483
Tennessee,TN,132901
Texas,TX,519028
Utah,UT,69464
Vermont,VT,21567
Virginia,VA,194018
Washington,WA,177276
West Virginia,WV,38990
Wisconsin,WI,140861
Wyoming,WY,563626
